questions,Reponses
Qu’est-ce que CitizenLab Sénégal ?,CitizenLab Sénégal est un hub d’innovation civique porté par AfricTivistes visant à renforcer la participation citoyenne et l’innovation numérique.
Quel est le lien entre CitizenLab Sénégal et AfricTivistes ?,CitizenLab Sénégal est un programme stratégique porté par AfricTivistes une organisation panafricaine de la société civile.
Quels sont les objectifs de CitizenLab Sénégal ?,Former accompagner et outiller les citoyens pour créer des solutions numériques à impact social.
CitizenLab Sénégal est-il politiquement neutre ?,Oui CitizenLab Sénégal est politiquement neutre et indépendant.
Où intervient CitizenLab Sénégal ?,CitizenLab Sénégal intervient à Dakar et dans plusieurs régions du Sénégal y compris les zones rurales.
Quels sont les domaines d’intervention de CitizenLab ?,Formation innovation civic-tech open data digitalisation transparence et inclusion numérique.
Qui peut participer aux activités CitizenLab ?,Les jeunes les femmes les OSC les journalistes les développeurs et les citoyens engagés.
Faut-il être développeur pour rejoindre CitizenLab ?,Non CitizenLab valorise la diversité des profils techniques et non techniques.
Comment participer aux programmes CitizenLab ?,La participation se fait via des appels à candidatures publiés officiellement.
CitizenLab soutient-il les projets ruraux ?,Oui CitizenLab encourage fortement les initiatives issues des zones rurales.
CitizenLab propose-t-il des formations ?,Oui CitizenLab organise des formations bootcamps ateliers et hackathons.
Les formations CitizenLab sont-elles gratuites ?,Oui la majorité des formations sont gratuites pour les bénéficiaires sélectionnés.
Quels types de formations sont proposées ?,Citoyenneté numérique data IA développement web cybersécurité innovation sociale.
CitizenLab organise-t-il des hackathons ?,Oui pour co-créer des solutions numériques citoyennes.
CitizenLab développe-t-il des plateformes numériques ?,Oui CitizenLab conçoit des plateformes citoyennes et open data.
CitizenLab travaille-t-il sur l’open data ?,Oui l’open data est un pilier central pour renforcer la transparence.
Pourquoi la transparence est importante ?,Elle renforce la confiance entre citoyens et institutions publiques.
CitizenLab agit-il sur la digitalisation administrative ?,Oui CitizenLab promeut la dématérialisation des services publics.
CitizenLab utilise-t-il l’intelligence artificielle ?,Oui pour les chatbots l’analyse de données et les outils citoyens.
Quels défis numériques CitizenLab adresse-t-il ?,La fracture numérique l’accès à l’information la lenteur administrative et le manque de transparence.
Quelle est la vision de CitizenLab Sénégal ?,Construire un numérique citoyen inclusif participatif et durable.
CitizenLab collabore-t-il avec l’État ?,Oui CitizenLab collabore avec des institutions publiques tout en gardant son indépendance.
CitizenLab travaille-t-il avec des partenaires ?,Oui avec des ONG des institutions publiques des communautés tech et des bailleurs.
À quoi sert le chatbot CitizenLab ?,Informer orienter accompagner les citoyens et répondre aux questions fréquentes.
Le chatbot est-il disponible en continu ?,Oui le chatbot est disponible 24 heures sur 24.
Le chatbot remplace-t-il l’équipe humaine ?,Non le chatbot complète le travail de l’équipe.
Le chatbot collecte-t-il des données personnelles ?,Uniquement avec le consentement de l’utilisateur et dans le respect des règles de protection des données.
Quelles sont les compétences globales de l’équipe CitizenLab ?,L’équipe dispose de compétences en IA data développement cybersécurité design communication gestion de projets et innovation civique.
Pourquoi la diversité des compétences est importante ?,Elle permet de concevoir des solutions adaptées aux réalités locales et à fort impact social.
Quelles compétences en data possède l’équipe ?,Analyse de données visualisation machine learning NLP et indicateurs décisionnels.
Quelles compétences en intelligence artificielle possède l’équipe ?,IA appliquée chatbots NLP analyse prédictive automatisation et IA citoyenne.
Quelles compétences en développement possède l’équipe ?,Développement web mobile full-stack API et plateformes numériques.
Quelles compétences en cybersécurité possède l’équipe ?,Sécurité des systèmes protection des données et infrastructures IT.
Quelles compétences en design et communication possède l’équipe ?,UX UI design graphique communication numérique sensibilisation citoyenne.
Quelles compétences en gestion de projet possède l’équipe ?,Gestion de projets agiles coordination suivi évaluation et design thinking.
Quelles sont les compétences de Fatou Dieng ?,Fatou Dieng apporte des compétences en analyse de données visualisation data et modèles de machine learning.
Quelles sont les compétences de Khadidiatou Thioune ?,Khadidiatou Thioune contribue aux activités d’analyse de données et de terrain.
Quelles sont les compétences de Ndèye Kany Cissé ?,Ndèye Kany Cissé possède des compétences en développement web mobile design graphique et optimisation SEO.
Quelles sont les compétences de Paule Marcelle Elanga ?,Paule Marcelle Elanga dispose d’une expertise en data science NLP computer vision et formation.
Quelles sont les compétences de Penda Fall ?,Penda Fall apporte une expertise en cybersécurité systèmes d’information IoT et gestion de projets techniques.
Quelles sont les compétences de Youssou Traoré ?,Youssou Traoré est spécialisé en développement web front-end et applications interactives.
Quelles sont les compétences de Elhadji Oumar Diouf ?,Elhadji Oumar Diouf possède des compétences en développement web et mobile et intégration de services.
Quelles sont les compétences de Mouhamadou Mballo ?,Mouhamadou Mballo est spécialisé en architecture logicielle développement full-stack et gouvernance des données.
Quelles sont les compétences de Thierno Bocar Dieng ?,Thierno Bocar Dieng apporte des compétences en data science intelligence artificielle automatisation et innovation numérique.
Quelles sont les compétences de Awa Diouf ?,Awa Diouf dispose de compétences en développement web systèmes embarqués IoT et formation des jeunes.
Quelles sont les compétences de Mamadou Diop ?,Mamadou Diop est spécialisé en communication numérique design graphique et production de contenus multimédias.
CitizenLab agit-il pour l’inclusion numérique ?,Oui l’inclusion des femmes des jeunes et des zones rurales est une priorité.
CitizenLab propose-t-il des contenus en langues locales ?,Oui progressivement des contenus sont adaptés aux langues locales.
CitizenLab travaille-t-il sur la souveraineté numérique ?,Oui à travers la promotion de solutions locales et la protection des données.
Quelle est la mission de CitizenLab Sénégal ?,La mission de CitizenLab Sénégal est de renforcer la participation citoyenne grâce aux technologies numériques et à l’innovation civique.
