chunk_id,category,title,content,keywords,metadata
chunk_001,identité,Présentation CitizenLab,"CitizenLab Sénégal est un laboratoire d'innovation civique porté par AfricTivistes, dédié à la promotion d'une citoyenneté active et à l'usage du numérique comme levier de transformation sociale.","CitizenLab,AfricTivistes,innovation civique,numérique,Sénégal","{""type"":""organisation"",""country"":""Sénégal""}"
chunk_002,identité,Mission,"Démocratiser l'accès aux technologies numériques et renforcer l'inclusion citoyenne au Sénégal.","mission,numérique,inclusion,accès,citoyenneté","{""type"":""mission""}"
chunk_003,identité,Vision,"Devenir un acteur clé du numérique citoyen et de la gouvernance ouverte en Afrique.","vision,numérique citoyen,gouvernance ouverte,Afrique","{""type"":""vision"",""scope"":""Afrique""}"
chunk_004,contexte,Double fracture numérique,"Le Sénégal connaît une double fracture numérique : un manque d'accès aux outils numériques et un déficit de compétences pour utiliser ces outils efficacement.","fracture numérique,accès,compétences,inégalités","{""type"":""problématique"",""priority"":""high""}"
chunk_005,contexte,Potentiel jeunesse,"Plus de 60% de la population sénégalaise a moins de 25 ans, mais ce potentiel reste encore peu mobilisé dans le développement numérique et civique du pays.","jeunesse,démographie,potentiel,mobilisation","{""type"":""opportunité"",""stat"":""60%"",""age"":""<25""}"
chunk_006,problème,Manque de compétences,"Problèmes identifiés : peu de formations adaptées au contexte local, faible sensibilisation de la population aux enjeux numériques, absence d'éducation civique numérique dans les curricula.","formation,sensibilisation,éducation,compétences","{""category"":""compétences"",""severity"":""high""}"
chunk_007,problème,Infrastructures insuffisantes,"Fracture numérique persistante entre zones urbaines et rurales, accès limité à Internet de qualité, infrastructures technologiques insuffisantes.","infrastructure,internet,zones rurales,accès","{""category"":""infrastructure"",""geographic"":""rural""}"
chunk_008,problème,Services publics non digitalisés,"Digitalisation insuffisante des services de l'État, peu de services en ligne adaptés aux besoins citoyens, manque de plateformes citoyennes interactives.","services publics,digitalisation,e-gouvernement","{""category"":""services"",""sector"":""public""}"
chunk_009,stratégie,Accès à l'information,"Orientation stratégique : Renforcer la disponibilité et l'accessibilité de l'information publique pour tous les citoyens sénégalais.","information publique,accès,transparence,équité","{""type"":""orientation"",""pillar"":""1""}"
chunk_010,stratégie,Transparence et redevabilité,"Promouvoir la responsabilité des institutions publiques envers les citoyens à travers des mécanismes de suivi et de contrôle citoyen.","transparence,redevabilité,institutions,contrôle","{""type"":""orientation"",""pillar"":""2""}"
chunk_011,stratégie,Outils de participation,"Déployer des solutions numériques permettant aux citoyens de s'impliquer activement dans les décisions publiques.","participation,outils numériques,engagement,démocratie","{""type"":""orientation"",""pillar"":""3""}"
chunk_012,stratégie,Renforcement compétences,"Former les citoyens et acteurs locaux aux compétences numériques essentielles pour participer à la société numérique.","formation,compétences,capacitation,éducation","{""type"":""orientation"",""pillar"":""4""}"
chunk_013,objectifs,Objectif formation,"Former 3000 jeunes et femmes aux compétences numériques et civiques d'ici 2026.","formation,jeunes,femmes,3000,2026","{""type"":""objectif"",""target"":3000,""deadline"":""2026"",""unit"":""personnes""}"
chunk_014,objectifs,Objectif solutions tech,"Développer 5 solutions technologiques de transparence et de participation citoyenne d'ici 2026.","solutions,technologie,transparence,5,2026","{""type"":""objectif"",""target"":5,""deadline"":""2026"",""unit"":""solutions""}"
chunk_015,objectifs,Objectif sensibilisation,"Sensibiliser 50000 citoyens ruraux au numérique et à la citoyenneté active d'ici 2026.","sensibilisation,rural,50000,2026,citoyenneté","{""type"":""objectif"",""target"":50000,""deadline"":""2026"",""geographic"":""rural""}"
chunk_016,objectifs,Objectif rapports,"Produire 1 rapport citoyen par trimestre sur l'état de la gouvernance et de la participation.","rapport,gouvernance,participation,trimestriel","{""type"":""objectif"",""frequency"":""trimestriel"",""target"":1}"
chunk_017,programmes,Éducation numérique inclusive,"Programme d'alphabétisation numérique accessible à tous via des écoles numériques fixes et des unités mobiles pour atteindre les zones rurales éloignées.","éducation,alphabétisation,écoles numériques,unités mobiles,zones rurales","{""type"":""programme"",""target"":""jeunes,femmes,ruraux"",""tools"":""écoles,mobiles""}"
chunk_018,programmes,Participation citoyenne augmentée,"Outils numériques pour faciliter l'engagement citoyen : plateforme web citoyenne de participation et applications mobiles dédiées.","participation,plateforme,application mobile,engagement","{""type"":""programme"",""deliverables"":""plateforme,apps""}"
chunk_019,programmes,Innovation ouverte jeunesse,"Espaces et événements pour stimuler l'innovation : hackathons thématiques, fablabs citoyens et bootcamps de formation intensive en civic tech.","innovation,hackathon,fablab,bootcamp,jeunesse,civic tech","{""type"":""programme"",""target"":""jeunes,innovateurs"",""format"":""événements""}"
chunk_020,programmes,Culture civique numérique,"Sensibilisation massive via des campagnes de communication multicanales, podcasts éducatifs et médias citoyens collaboratifs.","sensibilisation,campagne,podcast,média citoyen,culture numérique","{""type"":""programme"",""format"":""communication,contenu""}"
chunk_021,partenaires,AfricTivistes,"Organisation mère qui porte et coordonne CitizenLab Sénégal. Apporte son expertise en activisme numérique, son réseau continental et la gestion de projet.","AfricTivistes,porteur,activisme numérique,réseau","{""type"":""porteur"",""role"":""coordination""}"
chunk_022,partenaires,Union Européenne,"Partenaire financier et stratégique offrant financement, appui technique et visibilité internationale à CitizenLab.","Union Européenne,financement,partenaire stratégique","{""type"":""financier"",""contribution"":""financement,technique""}"
chunk_023,partenaires,Youth Democracy Cohort,"Partenaire thématique pour l'engagement de la jeunesse, apportant expertise jeunesse, réseau de jeunes leaders et méthodologies participatives.","Youth Democracy Cohort,jeunesse,démocratie","{""type"":""thématique"",""focus"":""jeunesse,démocratie""}"
chunk_024,faq,Qu'est-ce que CitizenLab ?,"CitizenLab Sénégal est un laboratoire d'innovation civique porté par AfricTivistes, dédié à la promotion de la citoyenneté active et à l'usage du numérique comme levier de transformation sociale au Sénégal.","définition,présentation,CitizenLab,AfricTivistes","{""type"":""faq"",""category"":""présentation""}"
