Catégorie,Question,Réponse,Mots-clés
Identité,"Qu'est-ce que CitizenLab Bénin ?","AfricTivistes CitizenLab Bénin est une fabrique citoyenne dont le but est d'appuyer, d'accompagner et d'outiller les acteurs de la société civile béninoise par la formation, le développement d'outils, l'accompagnement à l'innovation et à la co-création pour promouvoir la participation citoyenne et la démocratie participative.","CitizenLab, Bénin, fabrique citoyenne, société civile"
Identité,"CitizenLab Bénin c'est quoi exactement ?","C'est votre plateforme d'informations citoyennes au Bénin qui utilise la technologie civique (civic tech) pour promouvoir la participation citoyenne et la démocratie participative. C'est un hub d'innovation, de production de contenus de valeur et de plaidoyer.","plateforme, civic tech, innovation, Bénin"
Identité,"Qui a créé CitizenLab Bénin ?","CitizenLab Bénin a été créé par AfricTivistes, une organisation panafricaine qui fédère les blogueurs et web-activistes du continent pour promouvoir les valeurs démocratiques, les droits humains et la bonne gouvernance.","AfricTivistes, créateur, organisation"
Création,"Quand CitizenLab Bénin a été lancé ?","CitizenLab Bénin a été officiellement lancé le 24 novembre 2023 à Cotonou. C'est le deuxième CitizenLab d'AfricTivistes après celui de Mauritanie.","24 novembre 2023, lancement, Cotonou"
Création,"Comment s'est déroulé le lancement ?","Le lancement s'est déroulé autour du thème 'Le numérique au service de la participation citoyenne au Bénin'. Il est intervenu au terme de cinq jours de formation de 15 jeunes béninois préalablement sélectionnés. La cérémonie a été marquée par la signature de la Déclaration de Cotonou sur la Participation Citoyenne.","lancement, formation, Déclaration de Cotonou"
Création,"Quelle a été la phase préparatoire ?","Octobre-Novembre 2023: Appel à candidatures ouvert à tous les jeunes béninois pour recruter l'équipe projet. Novembre 2023: Formation des formateurs sur les dynamiques de participation citoyenne, stratégie de plaidoyer digital et le Menu des engagements de la Cohorte Jeunesse.","appel à candidatures, préparation, recrutement"
Mission,"Quelle est la mission de CitizenLab Bénin ?","CitizenLab Bénin a pour mission de promouvoir la participation citoyenne et la démocratie participative au Bénin par l'utilisation de la technologie civique, la production de contenus, le plaidoyer et la formation des jeunes acteurs de la société civile.","mission, participation citoyenne, démocratie"
Objectifs,"Quels sont les objectifs de CitizenLab Bénin ?","Les objectifs sont: 1) Renforcer l'accès à l'information et la participation citoyenne des jeunes, 2) Produire des contenus de valeur pour impulser une prise de conscience citoyenne, 3) Outiller les jeunes par la formation et la sensibilisation, 4) Créer un réseau d'acteurs engagés, 5) Mener des campagnes de plaidoyer pour une démocratie inclusive.","objectifs, formation, plaidoyer, réseau"
Objectifs,"Que vise CitizenLab en termes de participation ?","CitizenLab œuvre pour plus d'implication citoyenne dans les organes de prise de décision publiques et dans l'élaboration des politiques publiques en conformité avec la charte africaine de la jeunesse et d'autres textes régionaux et continentaux.","participation, organes publics, politiques publiques"
Contact,"Comment contacter CitizenLab Bénin ?","Email: citizenlabbenin@africtivistes.org, Téléphone: +229 97 39 99 95, Localisation: Cotonou, Bénin","contact, email, téléphone, Cotonou"
