Catégorie,Question,Réponse,Mots-clés
Identité,"Qu'est-ce que CitizenLab Cameroun ?","AfricTivistes CitizenLab Cameroun est une fabrique citoyenne dont le but est d'appuyer, d'accompagner et d'outiller les acteurs de la société civile camerounaise par la formation, le développement d'outils innovants, l'accompagnement à l'innovation et à la co-création pour promouvoir la participation citoyenne et la démocratie participative.","CitizenLab, Cameroun, fabrique citoyenne, société civile"
Identité,"CitizenLab Cameroun c'est quoi exactement ?","C'est votre plateforme d'informations citoyennes au Cameroun qui utilise la technologie civique (civic tech) pour promouvoir la participation citoyenne et la démocratie participative. C'est un hub d'innovation, de production de contenus de valeur et de plaidoyer.","plateforme, civic tech, innovation, Cameroun"
Identité,"Qui a créé CitizenLab Cameroun ?","CitizenLab Cameroun a été créé par AfricTivistes, une organisation panafricaine qui fédère les blogueurs et web-activistes du continent pour promouvoir les valeurs démocratiques, les droits humains et la bonne gouvernance.","AfricTivistes, créateur, organisation"
Création,"Quand CitizenLab Cameroun a été lancé ?","CitizenLab Cameroun a été officiellement lancé le 24 novembre 2023 à Yaoundé. C'est l'un des CitizenLab d'AfricTivistes installés en 2023-2024.","24 novembre 2023, lancement, Yaoundé"
Création,"Comment s'est déroulé le lancement ?","Le lancement s'est déroulé autour du thème 'Le numérique au service de la participation citoyenne au Cameroun'. Il est intervenu au terme de sessions de formation des jeunes camerounais préalablement sélectionnés.","lancement, formation, thème"
Création,"Quelle a été la phase préparatoire ?","Octobre-Novembre 2023: Appel à candidatures ouvert à tous les jeunes camerounais pour recruter l'équipe projet. Novembre 2023: Formation des formateurs sur les dynamiques de participation citoyenne, stratégie de plaidoyer digital et le Menu des engagements de la Cohorte Jeunesse.","appel à candidatures, préparation, recrutement"
Mission,"Quelle est la mission de CitizenLab Cameroun ?","CitizenLab Cameroun a pour mission de promouvoir la participation citoyenne et la démocratie participative au Cameroun par l'utilisation de la technologie civique, la production de contenus, le plaidoyer et la formation des jeunes acteurs de la société civile.","mission, participation citoyenne, démocratie"
Objectifs,"Quels sont les objectifs de CitizenLab Cameroun ?","Les objectifs sont: 1) Renforcer l'accès à l'information et la participation citoyenne des jeunes, 2) Produire des contenus de valeur pour impulser une prise de conscience citoyenne, 3) Outiller les jeunes par la formation et la sensibilisation, 4) Créer un réseau d'acteurs engagés, 5) Mener des campagnes de plaidoyer pour une démocratie inclusive.","objectifs, formation, plaidoyer, réseau"
Objectifs,"Que vise CitizenLab en termes de participation ?","CitizenLab œuvre pour plus d'implication citoyenne dans les organes de prise de décision publiques et dans l'élaboration des politiques publiques en conformité avec la charte africaine de la jeunesse et d'autres textes régionaux et continentaux.","participation, organes publics, politiques publiques"
Contact,"Comment contacter CitizenLab Cameroun ?","Email: citizenlabcameroun@africtivistes.org, Téléphone: +237 XX XXX XX XX, Localisation: Yaoundé, Cameroun","contact, email, téléphone, Yaoundé"
Contact,"Où se trouve CitizenLab Cameroun ?","CitizenLab Cameroun est basé à Yaoundé, au Cameroun.","localisation, Yaoundé, Cameroun"
Contact,"Quel est le site web de CitizenLab Cameroun ?","Le site web est https://citizenlabcameroun.org/","site web, url, lien"
Équipe,"Combien de membres compte l'équipe ?","L'équipe de CitizenLab Cameroun est composée de jeunes militants, journalistes et blogueurs sélectionnés et formés lors du processus de recrutement en 2023.","équipe, membres, militants, journalistes"
Équipe,"Quel profil pour rejoindre l'équipe ?","L'équipe est composée de militants, journalistes, blogueurs, acteurs de la société civile et professionnels des médias engagés pour la démocratie participative au Cameroun.","profil, militants, journalistes, blogueurs"
Formations,"Quelles formations CitizenLab Cameroun propose ?","CitizenLab Cameroun propose des formations sur: l'engagement civique et la participation citoyenne, le plaidoyer en ligne, les techniques de rédaction et production de contenus multimédias, le fact-checking, la démocratie et la gouvernance, le Menu des Engagements Possibles.","formations, engagement civique, plaidoyer, contenus"
Formations,"Combien de jeunes ont été formés ?","Plus de 150 jeunes ont été outillés par CitizenLab Cameroun à travers diverses sessions de formation et ateliers.","150 jeunes, formations, outillage"
Formations,"Combien d'offres de formations disponibles ?","CitizenLab Cameroun a lancé plus de 50 offres de formations pour renforcer les capacités des jeunes en matière de participation citoyenne.","50 formations, offres"
Activités,"Quelles sont les activités de CitizenLab Cameroun ?","Les activités incluent: production de contenus (articles, podcasts, vidéos), formations et ateliers, campagnes de sensibilisation en ligne, plaidoyer auprès du gouvernement, mobilisation citoyenne, recherche et analyses.","activités, contenus, formations, campagnes"
Activités,"CitizenLab produit quels types de contenus ?","CitizenLab produit: articles de blog et analyses, podcasts, vidéos, contenus de sensibilisation sur les réseaux sociaux, rapports sur la démocratie et la participation citoyenne.","contenus, blog, podcasts, vidéos"
Publications,"Quelles publications récentes ?","Les publications récentes (2025-2026) incluent: articles sur la désillusion des jeunes camerounais (70%), fake news et élections 2025, IA et éducation en Afrique, citoyenneté et survie, innovations numériques et civic tech.","publications, articles, 2025, 2026"
Actualités,"Quelles sont les dernières actualités ?","Les récentes actualités (janvier 2026) incluent: 70% des jeunes se disent désillusionnés, campagne ayant mobilisé 10 000 jeunes (nov-déc 2025), analyses sur les fake news et élections 2025, innovations numériques en Afrique.","actualités, 2025, 2026, jeunes"
Campagne 2025,"Quelle campagne CitizenLab a mené fin 2025 ?","Du 26 novembre au 20 décembre 2025, CitizenLab a organisé une campagne de sensibilisation citoyenne intitulée 'La participation citoyenne : comprendre, agir, influencer'. Cette campagne a mobilisé plus de 10 000 jeunes camerounais pendant 19 jours.","campagne 2025, 10 000 jeunes, sensibilisation"
Campagne 2025,"Quel était le message de la campagne ?","Le message clé était: 'Aucun jeune ne doit rester spectateur. Chaque voix compte, chaque action transforme'. L'objectif était d'appeler la jeunesse à devenir acteurs de changement plutôt que spectateurs.","message, acteurs changement, spectateurs"
Jeunesse,"Quelle est la situation des jeunes camerounais ?","Selon une étude de la Friedrich-Ebert-Stiftung citée par CitizenLab, près de 70% des jeunes Camerounais se disent désillusionnés par la politique traditionnelle, mais aspirent à des formes d'action citoyenne plus concrètes et inclusives.","jeunesse, 70%, désillusion, statistiques"
Jeunesse,"Comment transformer la désillusion en engagement ?","CitizenLab propose de transformer le désintérêt en engagement via: formations pratiques, campagnes de sensibilisation, création d'espaces de participation, utilisation des technologies numériques, valorisation de l'action citoyenne concrète.","transformation, engagement, désillusion"
Fake News,"Quel est le problème des fake news au Cameroun ?","CitizenLab a publié des analyses (janvier 2026) montrant que les fake news, rumeurs et manipulations constituent une transformation majeure du paysage informationnel, affectant la cohésion sociale et la démocratie, particulièrement lors des élections 2025.","fake news, désinformation, élections"
Fake News,"Comment lutter contre les fake news ?","CitizenLab lutte contre les fake news via: formations au fact-checking, sensibilisation des citoyens, production de contenus vérifiés, analyse des mécanismes de désinformation, éducation aux médias.","lutte, fact-checking, vérification"
Élections 2025,"Quel a été l'impact des fake news sur les élections 2025 ?","L'élection présidentielle camerounaise de 2025 s'est déroulée dans un environnement informationnel profondément altéré par la prolifération de fake news, contenus manipulés et campagnes de désinformation, amplifiées par les réseaux sociaux et l'IA.","élections 2025, fake news, désinformation"
IA,"Quelle est la position de CitizenLab sur l'IA ?","CitizenLab analyse l'IA comme une opportunité et un défi pour l'Afrique. Un article (décembre 2025) questionne si l'IA est une menace ou une opportunité pour l'éducation, reconnaissant son potentiel tout en alertant sur les risques.","IA, intelligence artificielle, éducation"
IA et Éducation,"Comment l'IA peut aider l'éducation en Afrique ?","L'IA peut: personnaliser l'apprentissage, combler la pénurie d'enseignants, fournir des ressources éducatives accessibles, réduire les disparités territoriales. Mais cela nécessite des infrastructures adaptées et une formation adéquate.","IA, éducation, opportunités, défis"
Innovations,"Quelles innovations numériques CitizenLab promeut ?","CitizenLab promeut: les civic tech, les chatbots pour l'engagement citoyen, les plateformes participatives, les hubs citoyens, les solutions numériques pour la démocratie et les services publics.","innovations, civic tech, chatbots, numérique"
Chatbots,"CitizenLab utilise des chatbots ?","Oui, CitizenLab analyse et promeut l'utilisation de chatbots pour l'engagement citoyen: conseils aux citoyens, information civique, accompagnement des communautés, soutien aux victimes de violences.","chatbots, innovation, engagement"
Leadership,"Les jeunes leaders sont-ils écoutés au Cameroun ?","CitizenLab a publié un article (janvier 2026) questionnant si les jeunes leaders sont écoutés ou seulement utilisés, soulignant qu'ils sont de plus en plus présents mais leurs voix ne sont pas toujours prises en compte dans les décisions.","leadership, jeunes leaders, écoute"
Leadership,"Comment valoriser les jeunes leaders ?","CitizenLab promeut: la reconnaissance de leur contribution, leur inclusion dans les processus décisionnels, le développement de programmes de soutien, la création d'espaces d'expression et d'action.","valorisation, reconnaissance, inclusion"
Citoyenneté,"Peut-on parler de citoyenneté quand survivre est la priorité ?","CitizenLab a publié une réflexion (janvier 2026) sur cette question, analysant comment la précarité et les besoins de survie quotidienne limitent l'exercice plein de la citoyenneté pour de nombreux Camerounais.","citoyenneté, survie, précarité, réflexion"
Citoyenneté,"Comment concilier survie et citoyenneté ?","CitizenLab propose de repenser la citoyenneté en tenant compte des réalités socio-économiques, en créant des formes de participation adaptées et en adressant les besoins fondamentaux pour permettre l'engagement civique.","conciliation, survie, engagement, adaptation"
Thématiques,"Quelles thématiques CitizenLab Cameroun aborde ?","Les thématiques incluent: démocratie participative, droits humains, gouvernance ouverte, participation citoyenne des jeunes, fake news et désinformation, IA et éducation, leadership jeunesse, inclusion numérique.","thématiques, démocratie, droits humains, gouvernance"
Civic Tech,"Qu'est-ce que la Civic Tech selon CitizenLab ?","La Civic Tech désigne les technologies et démarches qui favorisent et renforcent le rôle joué par les citoyens dans la consolidation des débats publics. Elles sont utilisées par les jeunes pour s'engager politiquement et participer à la vie de leur pays.","Civic Tech, technologie, débats publics"
Civic Tech,"Comment la Civic Tech aide la participation ?","La Civic Tech permet aux citoyens d'avoir une voix, facilite les échanges d'informations en temps réel, organise les mobilisations, et permet une participation active dans les processus électoraux et les débats publics.","Civic Tech, participation, mobilisation"
Valeurs,"Quelles sont les valeurs de CitizenLab Cameroun ?","Les valeurs fondamentales sont: la participation citoyenne, la démocratie participative, la gouvernance ouverte, l'accès à l'information, la transparence, l'engagement civique, l'innovation, l'intelligence collective.","valeurs, démocratie, transparence, innovation"
Droits,"Quels droits CitizenLab défend ?","CitizenLab défend: les droits et libertés fondamentaux (vie, liberté de pensée, d'expression, de religion), l'égalité devant la loi, la participation politique (vote, candidature, pétition, manifestation), les droits humains.","droits, libertés, égalité, participation politique"
Citoyenneté Concept,"C'est quoi la citoyenneté selon CitizenLab ?","La citoyenneté comprend: les droits et libertés, la participation politique, l'engagement civique, l'éducation citoyenne, la responsabilité citoyenne, le respect de la diversité, le dialogue et la délibération, la responsabilisation des dirigeants.","citoyenneté, droits, participation, responsabilité"
Engagement,"Qu'est-ce que l'engagement citoyen ?","L'engagement citoyen inclut les actions pour améliorer la communauté: bénévolat, service communautaire, participation aux groupes de quartier, prise de responsabilité pour améliorer la qualité de vie dans son environnement.","engagement, bénévolat, communauté, actions"
Éducation,"Pourquoi l'éducation citoyenne est importante ?","L'éducation citoyenne est essentielle car elle donne aux citoyens les connaissances, les compétences et les valeurs nécessaires pour participer efficacement à la vie politique et civique.","éducation citoyenne, formation, compétences"
Responsabilité,"Quelles responsabilités ont les citoyens ?","Les citoyens ont des responsabilités: respecter les lois, voter, payer des impôts, respecter les droits des autres, être tolérants, protéger l'environnement, participer à la vie communautaire.","responsabilités, devoirs, citoyens"
Diversité,"Comment CitizenLab aborde la diversité ?","CitizenLab promeut le respect des différences culturelles, religieuses et ethniques, ainsi que l'inclusion et l'égalité. La diversité est reconnue comme une richesse de la société camerounaise.","diversité, inclusion, égalité, respect"
Dialogue,"Pourquoi le dialogue est important ?","Le dialogue et la délibération sont essentiels car ils permettent aux citoyens de discuter de questions importantes, partager des opinions et trouver des solutions ensemble de manière constructive.","dialogue, délibération, discussion, solutions"
Gouvernance,"Qu'est-ce que la responsabilisation ?","La responsabilisation implique que les gouvernements et dirigeants soient responsables de leurs actions, rendent des comptes à la population et respectent les droits des citoyens.","responsabilisation, redevabilité, gouvernants"
Économie,"C'est quoi la participation économique ?","La participation à la vie économique implique la participation à l'économie, la compréhension de son fonctionnement et de ses impacts, ainsi que la promotion de l'équité économique.","économie, participation économique, équité"
Impact,"Quel est l'impact de CitizenLab Cameroun ?","L'impact inclut: 150+ jeunes outillés, 50 offres de formations, 130+ contenus de valeur produits, plus de 10 millions de nouvelles consciences citoyennes touchées, plus de 10 000 jeunes mobilisés lors de la campagne 2025.","impact, résultats, chiffres, réalisations"
Impact,"Combien de personnes touchées ?","CitizenLab Cameroun a touché plus de 10 millions de nouvelles consciences citoyennes à travers ses contenus, formations et campagnes de sensibilisation.","10 millions, portée, audience"
Mobilisation,"Quelle a été la grande mobilisation de 2025 ?","La campagne 'La participation citoyenne : comprendre, agir, influencer' (26 nov - 20 déc 2025) a mobilisé plus de 10 000 jeunes camerounais pendant 19 jours, les appelant à devenir acteurs de changement.","mobilisation, 10 000 jeunes, campagne 2025"
Financement,"Qui finance CitizenLab Cameroun ?","Le projet est financé par EU International Partnerships (Union Européenne) et soutenu par la Youth Democracy Cohort (YDC).","financement, EU, Union Européenne, YDC"
Partenaires,"Qui sont les partenaires ?","Les partenaires principaux sont: AfricTivistes (porteur du projet), EU International Partnerships (financement), Youth Democracy Cohort (soutien).","partenaires, AfricTivistes, EU, YDC"
Partenaires,"Qu'est-ce que la Youth Democracy Cohort ?","La Youth Democracy Cohort (YDC) est un partenariat qui soutient AfricTivistes pour disséminer, plaider et monitorer le Menu des Engagements Possibles pour renforcer les valeurs démocratiques auprès des jeunes.","YDC, Youth Democracy Cohort, soutien"
Menu Engagements,"C'est quoi le Menu des Engagements ?","Le Menu des Engagements Possibles est un instrument continental pour consolider la démocratie. CitizenLab forme les jeunes sur son contenu et mène des campagnes de plaidoyer pour son adoption et sa domestication.","Menu Engagements, instrument, plaidoyer"
CADEG,"Qu'est-ce que la CADEG ?","La CADEG (Charte Africaine de la Démocratie, des Élections et de la Gouvernance) est un instrument continental que CitizenLab promeut à travers des campagnes de plaidoyer pour renforcer les institutions publiques.","CADEG, charte africaine, démocratie"
Contenus,"Où trouver les contenus de CitizenLab ?","Les contenus sont disponibles sur le site web citizenlabcameroun.org dans les sections: Blog, Actualités, Podcasts, Vidéos, Formations, Campagnes.","contenus, site web, blog, podcasts"
Blog,"Qu'est-ce que la section Blog ?","La section Blog contient des articles d'analyse, de réflexion et d'opinion sur les enjeux de démocratie, participation citoyenne, droits humains, fake news, IA et gouvernance au Cameroun.","blog, articles, analyses"
Podcasts,"CitizenLab produit des podcasts ?","Oui, CitizenLab produit des podcasts pour sensibiliser sur la participation citoyenne et diffuser ses analyses et réflexions.","podcasts, production, médias"
Vidéos,"Quels types de vidéos CitizenLab produit ?","CitizenLab produit des vidéos de sensibilisation, des reportages, des capsules éducatives et du contenu visuel pour engager les jeunes camerounais.","vidéos, production, sensibilisation"
Campagnes,"Quelles campagnes CitizenLab mène ?","CitizenLab déploie des campagnes de sensibilisation en ligne pour promouvoir la participation citoyenne, le plaidoyer auprès du gouvernement, et des campagnes thématiques (élections, fake news, engagement jeunesse).","campagnes, sensibilisation, plaidoyer"
Réseau,"Quel réseau CitizenLab veut créer ?","CitizenLab vise à créer un réseau d'acteurs engagés dans la défense de la démocratie participative, composé de jeunes, de membres de la société civile, de professionnels des médias et d'innovateurs camerounais.","réseau, acteurs engagés, communauté"
Intelligence Collective,"Qu'est-ce que l'intelligence collective pour CitizenLab ?","CitizenLab se fonde sur l'intelligence collective pour créer une communauté de jeunes qui partagent des idéologies et valeurs profondes pour construire un Cameroun où la démocratie participative et la gouvernance ouverte sont des réalités.","intelligence collective, communauté, valeurs"
Outils,"Quels outils CitizenLab développe ?","CitizenLab développe des outils innovants pour la participation citoyenne: plateforme web, contenus multimédias, supports de formation, campagnes digitales, analyses et recherches.","outils, innovation, développement"
Vision Cameroun,"Quelle vision pour le Cameroun ?","La vision de CitizenLab est un Cameroun où la démocratie participative et la gouvernance ouverte sont des réalités, avec des citoyens informés, engagés et participant activement aux décisions publiques.","vision, Cameroun, démocratie, gouvernance"
Démocratie,"Qu'est-ce que la démocratie participative ?","Pour CitizenLab, la démocratie participative implique que les citoyens ne se contentent pas de voter, mais participent activement à l'élaboration des politiques publiques, aux débats, et aux décisions qui affectent leur vie.","démocratie participative, participation, politiques"
