Catégorie,Question,Réponse,Mots-clés
Identité,"Qu'est-ce que CitizenLab Tchad ?","AfricTivistes CitizenLab Tchad est un laboratoire citoyen pour la démocratie participative. C'est une fabrique citoyenne dont le but est d'appuyer, d'accompagner et d'outiller les acteurs de la société civile tchadienne par la formation, le développement d'outils innovants, l'accompagnement à l'innovation et à la co-création.","CitizenLab, Tchad, laboratoire citoyen, fabrique citoyenne"
Identité,"CitizenLab Tchad c'est quoi exactement ?","C'est votre plateforme d'informations citoyennes au Tchad qui utilise la technologie civique (civic tech) pour promouvoir la participation citoyenne et la démocratie participative. C'est un hub d'innovation, de production de contenus de valeur et de plaidoyer.","plateforme, civic tech, innovation, Tchad"
Identité,"Qui a créé CitizenLab Tchad ?","CitizenLab Tchad a été créé par AfricTivistes, une organisation panafricaine qui fédère les blogueurs et web-activistes du continent pour promouvoir les valeurs démocratiques, les droits humains et la bonne gouvernance.","AfricTivistes, créateur, organisation"
Création,"Quand CitizenLab Tchad a été lancé ?","CitizenLab Tchad a été officiellement lancé le 24 novembre 2023 à N'Djamena. C'est l'un des CitizenLab d'AfricTivistes installés dans le cadre du programme d'expansion 2023-2024.","24 novembre 2023, lancement, N'Djamena"
Création,"Comment s'est déroulé le lancement ?","Le lancement s'est déroulé autour du thème 'Le numérique au service de la participation citoyenne au Tchad'. Il est intervenu au terme de sessions de formation des jeunes tchadiens préalablement sélectionnés.","lancement, formation, numérique"
Création,"Quelle a été la phase préparatoire ?","Octobre-Novembre 2023: Appel à candidatures ouvert à tous les jeunes tchadiens pour recruter l'équipe projet. Novembre 2023: Formation des formateurs sur les dynamiques de participation citoyenne, stratégie de plaidoyer digital et le Menu des engagements de la Cohorte Jeunesse.","appel à candidatures, préparation, recrutement"
Mission,"Quelle est la mission de CitizenLab Tchad ?","CitizenLab Tchad a pour mission de promouvoir la participation citoyenne et la démocratie participative au Tchad par l'utilisation de la technologie civique, la production de contenus, le plaidoyer et la formation des jeunes acteurs de la société civile.","mission, participation citoyenne, démocratie"
Objectifs,"Quels sont les objectifs de CitizenLab Tchad ?","Les objectifs sont: 1 Renforcer l'accès à l'information et la participation citoyenne, 2) Produire des contenus de valeur pour impulser une prise de conscience citoyenne, 3) Outiller les jeunes par la formation et la sensibilisation, 4) Créer un réseau d'acteurs engagés, 5) Mener des campagnes de plaidoyer pour une démocratie inclusive.","objectifs, formation, plaidoyer, réseau"
Objectifs,"Que vise CitizenLab en termes de participation ?","CitizenLab œuvre pour plus d'implication citoyenne dans les organes de prise de décision publiques et dans l'élaboration des politiques publiques en conformité avec la charte africaine de la jeunesse et d'autres textes régionaux et continentaux.","participation, organes publics, politiques publiques"
Contact,"Comment contacter CitizenLab Tchad ?","Email: citizenlabtchad@africtivistes.org, Téléphone: +235 XXX XXX XXX, Localisation: N'Djamena, Tchad","contact, email, téléphone, N'Djamena"
Contact,"Où se trouve CitizenLab Tchad ?","CitizenLab Tchad est basé à N'Djamena, capitale du Tchad.","localisation, N'Djamena, Tchad"
Contact,"Quel est le site web de CitizenLab Tchad ?","Le site web est https://citizenlabtchad.org/","site web, url, lien"
Équipe,"Quel profil pour rejoindre l'équipe ?","L'équipe est composée de militants, journalistes, blogueurs, acteurs de la société civile et professionnels des médias engagés pour la démocratie participative au Tchad.","profil, militants, journalistes, blogueurs"
Formations,"Quelles formations CitizenLab Tchad propose ?","CitizenLab Tchad propose des formations sur: l'engagement civique et la participation citoyenne, le plaidoyer en ligne, les techniques de rédaction et production de contenus, le fact-checking, la démocratie et la gouvernance, le Menu des Engagements Possibles.","formations, engagement civique, plaidoyer, contenus"
Formations,"Combien de jeunes ont été formés ?","Plus de 150 jeunes ont été outillés par CitizenLab Tchad à travers diverses sessions de formation et ateliers.","150 jeunes, formations, outillage"
Formations,"Combien d'offres de formations disponibles ?","CitizenLab Tchad a lancé plus de 50 offres de formations pour renforcer les capacités des jeunes en matière de participation citoyenne.","50 formations, offres"
Activités,"Quelles sont les activités de CitizenLab Tchad ?","Les activités incluent: production de contenus (articles, podcasts, vidéos), formations et ateliers, campagnes de sensibilisation en ligne, plaidoyer auprès du gouvernement, mobilisation citoyenne, analyses et recherches.","activités, contenus, formations, campagnes"
Activités,"CitizenLab produit quels types de contenus ?","CitizenLab produit: articles de blog et analyses, podcasts, vidéos, contenus de sensibilisation sur les réseaux sociaux, rapports sur la démocratie et la participation citoyenne au Tchad.","contenus, blog, podcasts, vidéos"
Actualités,"Quelles sont les dernières actualités ?","Les récentes actualités (janvier 2026) incluent: articles sur le devoir citoyen dans l'utilisation d'Internet, le droit à l'image au Tchad, la Constitution tchadienne, la désinformation comme rempart citoyen, le devoir face à l'injustice, l'impact des algorithmes.","actualités, 2026, articles, janvier"
Internet,"Quel est le devoir citoyen sur Internet ?","CitizenLab a publié un article (janvier 2026) sur le devoir du citoyen dans l'utilisation d'Internet et des réseaux sociaux, soulignant que cette liberté numérique implique des devoirs fondamentaux pour préserver la paix sociale, la dignité humaine et l'État de droit.","Internet, devoir, réseaux sociaux, responsabilité"
Internet,"Quelles responsabilités sur les réseaux sociaux ?","Les citoyens doivent: vérifier les informations avant de partager, respecter la dignité d'autrui, éviter la désinformation, utiliser Internet de manière constructive pour le débat public, respecter les lois en vigueur.","réseaux sociaux, responsabilités, vérification"
Parents,"Quel rôle pour les parents à l'ère numérique ?","CitizenLab a publié un article (janvier 2026) sur le rôle des parents pour promouvoir la participation citoyenne et la démocratie participative à l'ère du numérique, combiné à l'action d'initiatives citoyennes pour une société meilleure.","parents, numérique, éducation, rôle"
Parents,"Comment les parents peuvent contribuer ?","Les parents doivent: éduquer leurs enfants à l'usage responsable du numérique, promouvoir les valeurs citoyennes, encourager la participation au dialogue communautaire, soutenir l'engagement civique des jeunes.","parents, éducation, valeurs, engagement"
Droit Image,"Qu'est-ce que le droit à l'image au Tchad ?","Le droit à l'image protège toute personne contre l'utilisation non autorisée de son image. À l'ère des smartphones et réseaux sociaux, prendre et partager des photos est devenu banal, mais le droit à l'image reste une règle juridique essentielle.","droit à l'image, protection, juridique, photos"
Droit Image,"Que dit la loi sur le droit à l'image ?","Au Tchad, le droit à l'image protège contre l'utilisation non autorisée de son image. Il est nécessaire d'avoir le consentement de la personne avant de prendre, diffuser ou publier sa photo ou vidéo, sauf exceptions légales.","loi, consentement, protection, image"
Constitution,"Qu'est-ce que la Constitution tchadienne ?","La Constitution tchadienne représente le fondement juridique et politique de l'État. C'est la loi suprême qui définit les principes essentiels, les droits et libertés, l'organisation des pouvoirs et incarne la volonté collective du peuple tchadien.","Constitution, loi suprême, État, fondement"
Constitution,"Pourquoi la Constitution est importante ?","La Constitution est le socle de l'État, de la démocratie et de la cohésion nationale. Elle définit les valeurs communes (justice, liberté, solidarité, dignité humaine), organise les institutions et garantit les droits des citoyens.","Constitution, importance, démocratie, cohésion"
Désinformation,"Comment CitizenLab lutte contre la désinformation ?","CitizenLab s'est positionné comme rempart citoyen face aux tempêtes informationnelles, en produisant des contenus vérifiés, en formant au fact-checking et en sensibilisant contre la manipulation de l'information.","désinformation, rempart, fact-checking, lutte"
Désinformation,"Quel est le contexte informationnel au Tchad ?","Le Tchad fait face à une dérive informationnelle où la population est quotidiennement exposée aux rumeurs, tensions sécuritaires et bruits de bottes. Cette menace informationnelle est aussi dangereuse que les menaces physiques.","contexte, Tchad, rumeurs, tensions"
Africtivistes Rempart,"Pourquoi Africtivistes est un rempart ?","Dans un contexte de bruits de bottes et tempêtes informationnelles, CitizenLab Tchad agit comme rempart citoyen en fournissant une information vérifiée, en formant la population à l'esprit critique et en créant un espace de parole citoyenne responsable.","rempart, protection, information, citoyen"
Injustice,"Quel est le devoir citoyen face à l'injustice ?","Le devoir citoyen face à l'injustice occupe une place essentielle dans toute société libre. Face aux injustices sociales, économiques, juridiques ou morales, le citoyen a la responsabilité morale et civique d'agir pour défendre la justice, la liberté et l'égalité.","injustice, devoir, responsabilité, action"
Injustice,"Comment agir face à l'injustice ?","Les citoyens peuvent: dénoncer les injustices, soutenir les victimes, s'engager dans la société civile, utiliser les mécanismes légaux, sensibiliser l'opinion publique, participer aux débats démocratiques.","action, dénonciation, engagement, solidarité"
Algorithmes,"Comment les algorithmes impactent le cerveau ?","CitizenLab a publié un article (janvier 2026) sur l'impact des algorithmes sur le cerveau humain, montrant qu'ils façonnent notre quotidien sans qu'on en ait conscience: ce qu'on voit, aime, consomme et parfois même ce qu'on pense.","algorithmes, impact, cerveau, influence"
Algorithmes,"Pourquoi sensibiliser sur les algorithmes ?","Face à cette influence invisible mais puissante des algorithmes, sensibiliser la jeunesse est devenu une nécessité pour qu'elle comprenne comment les plateformes numériques influencent ses choix et développe un esprit critique.","sensibilisation, jeunesse, esprit critique, algorithmes"
Promesses,"Quelle critique sur les politiciens ?","CitizenLab a publié une critique (janvier 2026) sur l'ingratitude des politiciens illustrée par l'histoire de Konronga, où les promesses électorales se noient dans l'oubli une fois les élections passées.","politiciens, promesses, critique, ingratitude"
Promesses,"Qu'est-ce que l'histoire de Konronga ?","C'est un récit illustrant comment des jeunes mobilisés pendant les élections pour un député se retrouvent abandonnés après sa victoire, symbolisant la trahison des promesses électorales et l'ingratitude politique.","Konronga, histoire, promesses, trahison"
Thématiques,"Quelles thématiques CitizenLab Tchad aborde ?","Les thématiques incluent: démocratie participative, droits humains, gouvernance ouverte, participation citoyenne, Constitution tchadienne, droit à l'image, désinformation, algorithmes, injustice, responsabilité numérique.","thématiques, démocratie, droits, gouvernance"
Civic Tech,"Qu'est-ce que la Civic Tech selon CitizenLab ?","La Civic Tech désigne les technologies et démarches qui favorisent et renforcent le rôle joué par les citoyens dans la consolidation des débats publics. Elles sont utilisées par les jeunes pour s'engager politiquement et participer à la vie de leur pays.","Civic Tech, technologie, débats publics"
Civic Tech,"Comment la Civic Tech aide la participation ?","La Civic Tech permet aux citoyens d'avoir une voix, facilite les échanges d'informations en temps réel, organise les mobilisations, et permet une participation active dans les processus électoraux et les débats publics.","Civic Tech, participation, mobilisation"
Valeurs,"Quelles sont les valeurs de CitizenLab Tchad ?","Les valeurs fondamentales sont: la participation citoyenne, la démocratie participative, la gouvernance ouverte, l'accès à l'information, la transparence, l'engagement civique, l'innovation, l'intelligence collective.","valeurs, démocratie, transparence, innovation"
Droits,"Quels droits CitizenLab défend ?","CitizenLab défend: les droits et libertés fondamentaux (vie, liberté de pensée, d'expression, de religion), l'égalité devant la loi, la participation politique (vote, candidature, pétition, manifestation), le droit à l'image, les droits humains.","droits, libertés, égalité, participation politique"
Citoyenneté,"C'est quoi la citoyenneté selon CitizenLab ?","La citoyenneté comprend: les droits et libertés, la participation politique, l'engagement civique, l'éducation citoyenne, la responsabilité citoyenne, le respect de la diversité, le dialogue et la délibération, la responsabilisation des dirigeants.","citoyenneté, droits, participation, responsabilité"
Engagement,"Qu'est-ce que l'engagement citoyen ?","L'engagement citoyen inclut les actions pour améliorer la communauté: bénévolat, service communautaire, participation aux groupes de quartier, prise de responsabilité pour améliorer la qualité de vie dans son environnement.","engagement, bénévolat, communauté, actions"
Éducation,"Pourquoi l'éducation citoyenne est importante ?","L'éducation citoyenne est essentielle car elle donne aux citoyens les connaissances, les compétences et les valeurs nécessaires pour participer efficacement à la vie politique et civique, notamment à l'ère numérique.","éducation citoyenne, formation, compétences"
Responsabilité,"Quelles responsabilités ont les citoyens ?","Les citoyens ont des responsabilités: respecter les lois, voter, payer des impôts, respecter les droits des autres, être tolérants, protéger l'environnement, participer à la vie communautaire, utiliser Internet de manière responsable.","responsabilités, devoirs, citoyens"
Diversité,"Comment CitizenLab aborde la diversité ?","CitizenLab promeut le respect des différences culturelles, religieuses et ethniques, ainsi que l'inclusion et l'égalité. La diversité est reconnue comme une richesse de la société tchadienne.","diversité, inclusion, égalité, respect"
Dialogue,"Pourquoi le dialogue est important ?","Le dialogue et la délibération sont essentiels car ils permettent aux citoyens de discuter de questions importantes, partager des opinions et trouver des solutions ensemble de manière constructive.","dialogue, délibération, discussion, solutions"
Gouvernance,"Qu'est-ce que la responsabilisation ?","La responsabilisation implique que les gouvernements et dirigeants soient responsables de leurs actions, rendent des comptes à la population et respectent les droits des citoyens.","responsabilisation, redevabilité, gouvernants"
Économie,"C'est quoi la participation économique ?","La participation à la vie économique implique la participation à l'économie, la compréhension de son fonctionnement et de ses impacts, ainsi que la promotion de l'équité économique.","économie, participation économique, équité"
Impact,"Quel est l'impact de CitizenLab Tchad ?","L'impact inclut: 150+ jeunes outillés, 50 offres de formations, 130+ contenus de valeur produits, plus de 10 millions de nouvelles consciences citoyennes touchées au Tchad.","impact, résultats, chiffres, réalisations"
Impact,"Combien de personnes touchées ?","CitizenLab Tchad a touché plus de 10 millions de nouvelles consciences citoyennes à travers ses contenus, formations et campagnes de sensibilisation.","10 millions, portée, audience"
Financement,"Qui finance CitizenLab Tchad ?","Le projet est financé par EU International Partnerships (Union Européenne) et soutenu par la Youth Democracy Cohort (YDC).","financement, EU, Union Européenne, YDC"
Partenaires,"Qui sont les partenaires ?","Les partenaires principaux sont: AfricTivistes (porteur du projet), EU International Partnerships (financement), Youth Democracy Cohort (soutien).","partenaires, AfricTivistes, EU, YDC"
Partenaires,"Qu'est-ce que la Youth Democracy Cohort ?","La Youth Democracy Cohort (YDC) est un partenariat qui soutient AfricTivistes pour disséminer, plaider et monitorer le Menu des Engagements Possibles pour renforcer les valeurs démocratiques auprès des jeunes.","YDC, Youth Democracy Cohort, soutien"
Menu Engagements,"C'est quoi le Menu des Engagements ?","Le Menu des Engagements Possibles est un instrument continental pour consolider la démocratie. CitizenLab forme les jeunes sur son contenu et mène des campagnes de plaidoyer pour son adoption et sa domestication au Tchad.","Menu Engagements, instrument, plaidoyer"
CADEG,"Qu'est-ce que la CADEG ?","La CADEG (Charte Africaine de la Démocratie, des Élections et de la Gouvernance) est un instrument continental que CitizenLab promeut à travers des campagnes de plaidoyer pour renforcer les institutions publiques tchadiennes.","CADEG, charte africaine, démocratie"
Contenus,"Où trouver les contenus de CitizenLab ?","Les contenus sont disponibles sur le site web citizenlabtchad.org dans les sections: Blog, Actualités, Podcasts, Vidéos, Formations, Campagnes.","contenus, site web, blog, podcasts"
Blog,"Qu'est-ce que la section Blog ?","La section Blog contient des articles d'analyse, de réflexion et d'opinion sur les enjeux de démocratie, participation citoyenne, Constitution, droits (dont le droit à l'image), désinformation et gouvernance au Tchad.","blog, articles, analyses"
Podcasts,"CitizenLab produit des podcasts ?","Oui, CitizenLab produit des podcasts pour sensibiliser sur la participation citoyenne, la démocratie et les enjeux tchadiens.","podcasts, production, médias"
Vidéos,"Quels types de vidéos CitizenLab produit ?","CitizenLab produit des vidéos de sensibilisation, des reportages, des capsules éducatives et du contenu visuel pour engager les jeunes tchadiens.","vidéos, production, sensibilisation"
Campagnes,"Quelles campagnes CitizenLab mène ?","CitizenLab déploie des campagnes de sensibilisation en ligne pour promouvoir la participation citoyenne, le plaidoyer auprès du gouvernement, et des campagnes thématiques (Constitution, droits, désinformation).","campagnes, sensibilisation, plaidoyer"
Réseau,"Quel réseau CitizenLab veut créer ?","CitizenLab vise à créer un réseau d'acteurs engagés dans la défense de la démocratie participative, composé de jeunes, de membres de la société civile, de professionnels des médias et d'innovateurs tchadiens.","réseau, acteurs engagés, communauté"
Intelligence Collective,"Qu'est-ce que l'intelligence collective pour CitizenLab ?","CitizenLab se fonde sur l'intelligence collective pour créer une communauté de jeunes qui partagent des idéologies et valeurs profondes pour construire un Tchad où la démocratie participative et la gouvernance ouverte sont des réalités.","intelligence collective, communauté, valeurs"
Outils,"Quels outils CitizenLab développe ?","CitizenLab développe des outils innovants pour la participation citoyenne: plateforme web, contenus multimédias, supports de formation, campagnes digitales, analyses et recherches sur le contexte tchadien.","outils, innovation, développement"
Vision Tchad,"Quelle vision pour le Tchad ?","La vision de CitizenLab est un Tchad où la démocratie participative et la gouvernance ouverte sont des réalités, avec des citoyens informés, engagés et participant activement aux décisions publiques.","vision, Tchad, démocratie, gouvernance"
Démocratie,"Qu'est-ce que la démocratie participative ?","Pour CitizenLab, la démocratie participative implique que les citoyens ne se contentent pas de voter, mais participent activement à l'élaboration des politiques publiques, aux débats, et aux décisions qui affectent leur vie.","démocratie participative, participation, politiques"
État de Droit,"Pourquoi l'État de droit est important ?","L'État de droit est fondamental car il garantit que tous (citoyens et dirigeants) sont soumis aux mêmes lois, protège les droits et libertés, et assure la justice et l'égalité pour tous au Tchad.","État de droit, lois, justice, égalité"
Institutions,"Quel rôle pour les institutions ?","CitizenLab plaide pour des institutions publiques fortes, transparentes et redevables qui respectent les droits des citoyens et permettent leur participation effective aux processus démocratiques, tel que défini par la Constitution.","institutions, transparence, redevabilité"
Consolidation,"Comment consolider la démocratie ?","La consolidation passe par: l'éducation citoyenne, la participation active, le plaidoyer pour de bonnes lois (CADEG, Constitution), la responsabilisation des dirigeants, l'utilisation des technologies civiques, la lutte contre la désinformation.","consolidation, démocratie, éducation, plaidoyer"
Afrique,"CitizenLab a une dimension africaine ?","Oui, CitizenLab s'inscrit dans le réseau panafricain AfricTivistes et promeut des instruments continentaux (CADEG, Charte africaine de la jeunesse) tout en abordant les enjeux spécifiques au Tchad et au Sahel.","Afrique, panafricain, continental, réseau"
Contexte Tchad,"Quel est le contexte tchadien ?","Le Tchad fait face à des défis multiples: tensions sécuritaires, bruits de bottes, crises régionales, dérive informationnelle. Dans ce contexte, CitizenLab œuvre pour renforcer la parole citoyenne et l'esprit critique.","contexte, Tchad, défis, sécurité"
Sécurité,"Comment CitizenLab aborde la sécurité ?","CitizenLab aborde la sécurité sous l'angle de l'information: lutter contre les rumeurs et bruits de bottes par la production d'informations vérifiées, la formation à l'esprit critique et la création d'un espace citoyen responsable.","sécurité, information, rumeurs, vérification"
