Catégorie,Question,Réponse,Mots-clés
Identité,"Qu'est-ce que CitizenLab Guinée ?","AfricTivistes CitizenLab Guinée est une fabrique citoyenne et un laboratoire citoyen d'innovation numérique dont le but est d'appuyer, d'accompagner et d'outiller les acteurs de la société civile guinéenne par la formation, le développement d'outils innovants, l'accompagnement à l'innovation et à la co-création.","CitizenLab, Guinée, fabrique citoyenne, innovation numérique"
Identité,"CitizenLab Guinée c'est quoi exactement ?","C'est votre plateforme d'informations citoyennes en Guinée qui utilise la technologie civique (civic tech) pour promouvoir la participation citoyenne et la démocratie participative. C'est un hub d'innovation, de production de contenus de valeur et de plaidoyer basé à Labé.","plateforme, civic tech, innovation, Guinée"
Identité,"Qui a créé CitizenLab Guinée ?","CitizenLab Guinée a été créé par AfricTivistes, une organisation panafricaine qui fédère les blogueurs et web-activistes du continent pour promouvoir les valeurs démocratiques, les droits humains et la bonne gouvernance.","AfricTivistes, créateur, organisation"
Création,"Quand CitizenLab Guinée a été lancé ?","CitizenLab Guinée a été officiellement lancé le 25 novembre 2025 dans les locaux de l'association Villageois 2.0 à Labé, au centre-nord de la Guinée.","25 novembre 2025, lancement, Labé"
Création,"Comment s'est déroulé le lancement ?","La cérémonie de lancement a rassemblé des responsables universitaires, des étudiants, des élèves et des représentants d'organisations de la société civile locale. C'était un moment historique pour la participation citoyenne en Guinée.","lancement, cérémonie, Labé, novembre 2025"
Création,"Quelle a été la phase préparatoire ?","Juin 2025: Appel à candidatures ouvert à tous les jeunes guinéens pour recruter l'équipe projet. 08-12 Septembre 2025: Formation des membres sur les dynamiques de participation citoyenne, stratégie de plaidoyer digital et Menu des engagements de la Cohorte Jeunesse. 25 Novembre 2025: Lancement officiel.","préparation, 2025, formation, recrutement"
Localisation,"Où se trouve CitizenLab Guinée ?","CitizenLab Guinée est basé à Labé, au centre-nord de la Guinée, dans les locaux de l'association Villageois 2.0. Une présence est également prévue à Conakry et dans d'autres villes guinéennes.","Labé, localisation, Villageois 2.0, centre-nord"
Localisation,"Pourquoi Labé ?","Labé a été choisi comme siège pour décentraliser l'innovation numérique et la participation citoyenne, en apportant ces opportunités aux régions en dehors de la capitale Conakry.","Labé, décentralisation, régions, choix"
Expansion,"CitizenLab sera présent dans d'autres villes ?","Oui, CitizenLab Guinée sera bientôt présent dans d'autres villes guinéennes pour étendre l'accès à l'innovation numérique et à la participation citoyenne à travers tout le pays.","expansion, villes, présence, extension"
Mission,"Quelle est la mission de CitizenLab Guinée ?","CitizenLab Guinée a pour mission de promouvoir la participation citoyenne et la démocratie participative en Guinée par l'utilisation de la technologie civique, la production de contenus, le plaidoyer et la formation des jeunes acteurs de la société civile.","mission, participation citoyenne, démocratie"
