Catégorie,Question,Réponse,Mots-clés
Identité,"Qu'est-ce que CitizenLab Madagascar ?","AfricTivistes CitizenLab Madagascar est une initiative citoyenne et une fabrique citoyenne dont l'objectif est de soutenir, accompagner et doter les jeunes et les acteurs de la société civile malgache des compétences nécessaires à travers la formation, le développement d'outils et l'accompagnement dans les domaines de l'innovation et de la co-création.","CitizenLab, Madagascar, fabrique citoyenne, initiative"
Identité,"CitizenLab Madagascar c'est quoi exactement ?","C'est votre plateforme d'informations citoyennes à Madagascar qui utilise la technologie civique (civic tech) pour promouvoir la participation citoyenne et la démocratie participative. C'est un programme qui constitue un levier pour accélérer l'engagement citoyen en faveur de la démocratie participative.","plateforme, civic tech, participation, Madagascar"
Identité,"Qui a créé CitizenLab Madagascar ?","CitizenLab Madagascar a été créé par AfricTivistes en partenariat avec Isika, une organisation malgache. C'est un partenariat visant à impulser une nouvelle dynamique de participation citoyenne et créer un réseau d'acteurs de changement au Madagascar.","AfricTivistes, Isika, partenariat, créateur"
Création,"Quand CitizenLab Madagascar a été lancé ?","CitizenLab Madagascar a été officiellement lancé le 24 novembre 2023. C'est l'un des trois premiers CitizenLab créés par AfricTivistes entre 2022 et 2024, avec ceux de Mauritanie et du Bénin.","24 novembre 2023, lancement, premier CitizenLab"
Création,"Quelle a été la phase préparatoire ?","Octobre-Novembre 2023: Appel à candidatures ouvert à tous les jeunes malgaches pour recruter l'équipe projet. Novembre 2023: Formation des formateurs sur les dynamiques de participation citoyenne, stratégie de plaidoyer digital et Menu des engagements. 24 Novembre 2023: Lancement officiel.","préparation, 2023, appel, formations"
Mission,"Quelle est la mission de CitizenLab Madagascar ?","La mission est de promouvoir la participation citoyenne et la démocratie participative à Madagascar par l'utilisation de la technologie civique, la production de contenus, le plaidoyer et la formation des jeunes acteurs de la société civile malgache.","mission, participation, démocratie, civic tech"
Objectifs,"Quels sont les objectifs de CitizenLab Madagascar ?","Les objectifs sont: 1) Renforcer l'accès à l'information et la participation citoyenne, 2) Produire des contenus de valeur, 3) Outiller les jeunes par la formation, 4) Créer un réseau d'acteurs engagés, 5) Mener des campagnes de plaidoyer pour une démocratie inclusive.","objectifs, formation, plaidoyer, réseau"
Objectifs,"Que vise CitizenLab en termes de participation ?","CitizenLab œuvre pour plus d'implication citoyenne dans les organes de prise de décision publiques et dans l'élaboration des politiques publiques en conformité avec la charte africaine de la jeunesse et d'autres textes régionaux et continentaux.","participation, organes publics, politiques publiques"
Contact,"Comment contacter CitizenLab Madagascar ?","Email: citizenlabmadagascar@africtivistes.org, Téléphone: +261 37 646 16 64, Adresse: Lot IVP 7 Bis Ankadifotsy Befelatanana, Antananarivo, 101 Madagascar","contact, email, téléphone, Antananarivo"
Contact,"Où se trouve CitizenLab Madagascar ?","CitizenLab Madagascar est basé à Antananarivo (la capitale), précisément à Ankadifotsy Befelatanana, Lot IVP 7 Bis, Antananarivo 101, Madagascar.","localisation, Antananarivo, adresse, Madagascar"
Contact,"Quel est le site web de CitizenLab Madagascar ?","Le site web est https://citizenlabmadagascar.org/","site web, url, lien"
Partenariat Isika,"Qu'est-ce que le partenariat avec Isika ?","AfricTivistes et Isika ont noué un partenariat pour mettre en place le CitizenLab Madagascar. Ce laboratoire citoyen est un espace innovant et une plateforme collaborative pour encourager le dialogue entre les citoyens et créer un réseau d'acteurs de changement.","Isika, partenariat, collaboration, dialogue"
Isika,"Qui est Isika ?","Isika est une organisation malgache partenaire d'AfricTivistes dans la mise en place de CitizenLab Madagascar. Isika porte notamment le programme JADEN et travaille sur des initiatives comme FARIBOLANA.","Isika, organisation malgache, partenaire"
Programme JADEN,"Qu'est-ce que le programme JADEN ?","JADEN (Jeunes Ambassadeurs de la Démocratie à l'Ère du Numérique) est un programme lancé le 29 novembre 2024, porté par Isika. Son ambition est de former une nouvelle génération de jeunes leaders engagés dans la démocratie, la participation citoyenne et la civic-tech. C'est une initiative majeure pour renforcer la citoyenneté active.","JADEN, programme, jeunes leaders, 29 novembre 2024"
JADEN Objectif,"Quel est l'objectif du programme JADEN ?","JADEN vise à former une nouvelle génération de jeunes leaders engagés dans la démocratie, la participation citoyenne et la civic-tech à Madagascar, constituant une initiative majeure pour renforcer la citoyenneté active.","JADEN, formation, leaders, civic-tech"
FARIBOLANA,"Qu'est-ce que le programme FARIBOLANA ?","FARIBOLANA est un programme co-organisé par ISIKA, CliMates Madagascar et CBM Global Disability Inclusion – Madagascar. Il aborde notamment l'impact du changement climatique et l'inclusion des personnes handicapées.","FARIBOLANA, climat, inclusion, handicap"
Consultation Mahajanga,"Qu'est-ce que la consultation de Mahajanga ?","Le 23 novembre 2024, une consultation régionale s'est tenue à Mahajanga dans le cadre du programme FARIBOLANA. Cet événement a réuni acteurs locaux, responsables d'organisations et citoyens pour discuter de l'impact du changement climatique et de l'inclusion des personnes handicapées.","Mahajanga, 23 novembre 2024, consultation, climat, handicap"
Changement Climatique,"CitizenLab travaille sur le climat ?","Oui, via le programme FARIBOLANA en partenariat avec CliMates Madagascar et CBM Global, CitizenLab aborde les questions de changement climatique et son impact sur les populations vulnérables, notamment les personnes handicapées.","climat, changement climatique, FARIBOLANA"
Inclusion Handicap,"CitizenLab travaille sur le handicap ?","Oui, CitizenLab participe au programme FARIBOLANA qui intègre l'inclusion des personnes handicapées dans les discussions sur le changement climatique, reconnaissant que ce sujet est souvent négligé mais crucial.","handicap, inclusion, personnes handicapées, FARIBOLANA"
CliMates Madagascar,"Qui est CliMates Madagascar ?","CliMates Madagascar est une organisation partenaire qui co-organise avec ISIKA et CBM Global le programme FARIBOLANA sur le changement climatique et l'inclusion des personnes handicapées.","CliMates, partenaire, climat"
CBM Global,"Qui est CBM Global ?","CBM Global Disability Inclusion – Madagascar est une organisation partenaire qui co-organise avec ISIKA et CliMates le programme FARIBOLANA, spécialisée dans l'inclusion des personnes handicapées.","CBM Global, handicap, inclusion, partenaire"
Génération Z,"Qu'est-ce que l'article sur la Génération Z ?","CitizenLab a publié un article (octobre 2025) intitulé 'La Génération Z, moteur du sursaut citoyen' affirmant que 'La Génération Z malgache, par son courage, sa créativité et sa détermination, est la preuve qu'aucune démocratie ne peut être durable si elle exclut ceux qui représentent l'avenir'.","Génération Z, article, octobre 2025, sursaut citoyen"
Gen Z Importance,"Pourquoi la Génération Z est importante ?","Selon CitizenLab, la Génération Z malgache représente l'avenir de la démocratie. Par son courage, sa créativité et sa détermination, elle prouve qu'aucune démocratie ne peut être durable si elle exclut ceux qui représentent l'avenir.","Génération Z, avenir, courage, créativité, démocratie"
Formations,"Quelles formations CitizenLab propose ?","CitizenLab Madagascar propose des formations sur: l'engagement civique et la participation citoyenne, le plaidoyer en ligne, les techniques de production de contenus, le fact-checking, la démocratie et la gouvernance, le Menu des Engagements Possibles, la civic-tech.","formations, engagement, plaidoyer, contenus"
Formations,"Combien de jeunes ont été formés ?","Plus de 150 jeunes ont été outillés par CitizenLab Madagascar à travers diverses sessions de formation et ateliers.","150 jeunes, formations, outillage"
Formations,"Combien d'offres de formations disponibles ?","CitizenLab Madagascar a lancé plus de 50 offres de formations pour renforcer les capacités des jeunes en matière de participation citoyenne.","50 formations, offres"
Activités,"Quelles sont les activités de CitizenLab Madagascar ?","Les activités incluent: production de contenus (articles, podcasts, vidéos), formations et ateliers, campagnes de sensibilisation en ligne, plaidoyer auprès du gouvernement, mobilisation citoyenne, programmes spéciaux (JADEN, FARIBOLANA).","activités, contenus, formations, campagnes, programmes"
Activités,"CitizenLab produit quels types de contenus ?","CitizenLab produit: articles de blog et analyses, podcasts, vidéos, contenus de sensibilisation sur les réseaux sociaux, rapports sur la démocratie et la participation citoyenne à Madagascar.","contenus, blog, podcasts, vidéos"
Actualités,"Quelles sont les dernières actualités ?","Actualités récentes: article sur la Génération Z (octobre 2025), présentation de CitizenLab (avril 2025), partenariat AfricTivistes-Isika (avril 2025), lancement JADEN (novembre 2024), consultation Mahajanga (novembre 2024).","actualités, 2024, 2025, articles"
Thématiques,"Quelles thématiques CitizenLab Madagascar aborde ?","Les thématiques incluent: démocratie participative, droits humains, gouvernance ouverte, participation citoyenne des jeunes, Génération Z, changement climatique, inclusion des personnes handicapées, civic-tech, leadership jeunesse.","thématiques, démocratie, climat, inclusion, jeunesse"
