chunk_id,category,subcategory,actor_name,description,role,contribution,target_objectives,budget_share,keywords,metadata
act_pub_001,Acteurs Publics,Digitalisation,Sénégal Numérique (ex-ADIE),"Organisme bras technique de l'État pour la digitalisation des services publics","Pallier le manque de plateformes citoyennes interactives et la faible adoption des outils numériques locaux","Rendre l'administration plus transparente et accessible, répondre à l'exigence citoyenne de redevabilité","","","digitalisation,services publics,transparence,plateformes citoyennes,ADIE","{""type"":""public"",""sector"":""administration"",""priority"":""high""}"
act_pub_002,Acteurs Publics,Politique Numérique,Ministère de la Communication des Télécommunications et du Numérique,"Ministère définissant les politiques nationales pour l'accessibilité et l'adoption des technologies","Réduire l'accès inégal aux outils numériques en milieu rural","Définir les politiques d'accessibilité numérique","Sensibiliser 50000 citoyens ruraux au numérique d'ici 2026","","politique,télécommunications,rural,accessibilité,ministère","{""type"":""public"",""sector"":""politique"",""geographic"":""rural""}"
act_pub_003,Acteurs Publics,Protection des Données,CDP - Commission de la Protection des Données Personnelles,"Institution garante de la confiance numérique","Assurer que la transparence ne se fait pas au détriment de la vie privée","Protection des données personnelles et confiance numérique","","","protection données,vie privée,confiance numérique,sécurité,RGPD","{""type"":""public"",""sector"":""régulation"",""focus"":""privacy""}"
act_pub_004,Acteurs Publics,Éducation,Ministère de l'Enseignement Supérieur & Force N,"Structures répondant au besoin urgent de formations adaptées","Combler le manque de compétences et de culture numérique","Déployer une éducation numérique inclusive via écoles numériques et unités mobiles","","","enseignement,formation,éducation numérique,compétences,Force N","{""type"":""public"",""sector"":""education"",""priority"":""high""}"
act_pub_005,Acteurs Publics,Inclusion Économique,DER/FJ & ANPEJ,"Structures se concentrant sur l'inclusion économique des jeunes","Mobiliser les jeunes pour qu'ils deviennent des entrepreneurs civiques","Soutenir l'innovation et l'entrepreneuriat jeunesse","Former 3000 jeunes et femmes d'ici 2026","","jeunesse,entrepreneuriat,inclusion économique,DER,ANPEJ","{""type"":""public"",""sector"":""emploi"",""target"":""3000"",""deadline"":""2026""}"
act_pub_006,Acteurs Publics,Financement Formation,3FPT - Fonds de Financement de la Formation Professionnelle et Technique,"Fonds finançant le renforcement des capacités techniques","Soutenir l'axe Formation et Sensibilisation","Financer bootcamps et fablabs citoyens pour l'innovation ouverte","","30% du budget global de développement des compétences","formation professionnelle,financement,bootcamp,fablab,3FPT","{""type"":""public"",""sector"":""financement"",""budget_share"":""30%""}"
act_priv_001,Acteurs Privés,Télécommunications,Orange (Sonatel),"Leader du marché des télécommunications au Sénégal","Fournir la connectivité nécessaire au déploiement des unités mobiles","Connectivité mobile et internet","","","Orange,Sonatel,télécommunications,connectivité,leader","{""type"":""privé"",""sector"":""telecom"",""position"":""leader""}"
act_priv_002,Acteurs Privés,Télécommunications,Expresso,"Opérateur télécom majeur au Sénégal","Contribuer à la réduction de la fracture numérique persistante","Offrir des alternatives d'accès à Internet","","","Expresso,télécommunications,internet,fracture numérique","{""type"":""privé"",""sector"":""telecom""}"
act_priv_003,Acteurs Privés,Télécommunications,Yas,"Nouvel acteur MVNO (opérateur mobile virtuel)","Participer à la diversification de l'offre mobile","Diversifier l'offre mobile pour atteindre les zones rurales","Atteindre 50000 citoyens ruraux","","Yas,MVNO,mobile,rural,diversification","{""type"":""privé"",""sector"":""telecom"",""status"":""nouveau"",""target"":""50000""}"
act_priv_004,Acteurs Privés,Télécommunications,ProMobile,"Opérateur virtuel local","Jouer un rôle dans l'inclusion numérique","Proposer des services adaptés aux réalités nationales","","","ProMobile,MVNO,inclusion numérique,local","{""type"":""privé"",""sector"":""telecom"",""focus"":""inclusion""}"
